volume_usd,symbol,date,post_nov_2022
1179571042,USDC,2023-10-07,1
1621879275,USDC,2023-10-08,1
2797548386,USDC,2023-10-09,1
2402546704,USDC,2023-10-10,1
2952223563,USDC,2023-10-11,1
2354134010,USDC,2023-10-12,1
2256260023,USDC,2023-10-13,1
1036838776,USDC,2023-10-14,1
1366917286,USDC,2023-10-15,1
4703592443,USDC,2023-10-16,1
2840553486,USDC,2023-10-17,1
2648160709,USDC,2023-10-18,1
2652500406,USDC,2023-10-19,1
3464401132,USDC,2023-10-20,1
2029693357,USDC,2023-10-21,1
2139970395,USDC,2023-10-22,1
6974709631,USDC,2023-10-23,1
8074666907,USDC,2023-10-24,1
5304032294,USDC,2023-10-25,1
4962675018,USDC,2023-10-26,1
4082394599,USDC,2023-10-27,1
2468016438,USDC,2023-10-28,1
2543105671,USDC,2023-10-29,1
3923554176,USDC,2023-10-30,1
3514523823,USDC,2023-10-31,1
4780026293,USDC,2023-11-01,1
4727405731,USDC,2023-11-02,1
3917354437,USDC,2023-11-03,1
2236249364,USDC,2023-11-04,1
3320758545,USDC,2023-11-05,1
3704537072,USDC,2023-11-06,1
4331266462,USDC,2023-11-07,1
3483561051,USDC,2023-11-08,1
7796943402,USDC,2023-11-09,1
5800619880,USDC,2023-11-10,1
4054656387,USDC,2023-11-11,1
3363812288,USDC,2023-11-12,1
5884242661,USDC,2023-11-13,1
5897076012,USDC,2023-11-14,1
6459430865,USDC,2023-11-15,1
6587299689,USDC,2023-11-16,1
5656392614,USDC,2023-11-17,1
3527085445,USDC,2023-11-18,1
3377536219,USDC,2023-11-19,1
5715544230,USDC,2023-11-20,1
6746318099,USDC,2023-11-21,1
5843849576,USDC,2023-11-22,1
3906905702,USDC,2023-11-23,1
5071942600,USDC,2023-11-24,1
2220573375,USDC,2023-11-25,1
2981851641,USDC,2023-11-26,1
4857602258,USDC,2023-11-27,1
4946072076,USDC,2023-11-28,1
4806411317,USDC,2023-11-29,1
3955267282,USDC,2023-11-30,1
5045550334,USDC,2023-12-01,1
3627380584,USDC,2023-12-02,1
3432480206,USDC,2023-12-03,1
7360707792,USDC,2023-12-04,1
6856709757,USDC,2023-12-05,1
6126970583,USDC,2023-12-06,1
6488731738,USDC,2023-12-07,1
6282261785,USDC,2023-12-08,1
4743965792,USDC,2023-12-09,1
3540530606,USDC,2023-12-10,1
8980651787,USDC,2023-12-11,1
6327509556,USDC,2023-12-12,1
6632941650,USDC,2023-12-13,1
6352617430,USDC,2023-12-14,1
5589250638,USDC,2023-12-15,1
3971109127,USDC,2023-12-16,1
4203857073,USDC,2023-12-17,1
5768924196,USDC,2023-12-18,1
5304568228,USDC,2023-12-19,1
5626388921,USDC,2023-12-20,1
5752000926,USDC,2023-12-21,1
6215615616,USDC,2023-12-22,1
3587593263,USDC,2023-12-23,1
4449639052,USDC,2023-12-24,1
4515777689,USDC,2023-12-25,1
5897181585,USDC,2023-12-26,1
6415682081,USDC,2023-12-27,1
6962497226,USDC,2023-12-28,1
6732719103,USDC,2023-12-29,1
3591793169,USDC,2023-12-30,1
3568612484,USDC,2023-12-31,1
3619152850,USDC,2024-01-01,1
7168716923,USDC,2024-01-02,1
9659438355,USDC,2024-01-03,1
6513854273,USDC,2024-01-04,1
6668210536,USDC,2024-01-05,1
3301845016,USDC,2024-01-06,1
3454405965,USDC,2024-01-07,1
7434325806,USDC,2024-01-08,1
7685031179,USDC,2024-01-09,1
10293999660,USDC,2024-01-10,1
9752773344,USDC,2024-01-11,1
9173229465,USDC,2024-01-12,1
4721219489,USDC,2024-01-13,1
3885825077,USDC,2024-01-14,1
4968009259,USDC,2024-01-15,1
5325841668,USDC,2024-01-16,1
5296515232,USDC,2024-01-17,1
6065965043,USDC,2024-01-18,1
5781605843,USDC,2024-01-19,1
2710642311,USDC,2024-01-20,1
2267115211,USDC,2024-01-21,1
7125306569,USDC,2024-01-22,1
6820740579,USDC,2024-01-23,1
5374964637,USDC,2024-01-24,1
4814403169,USDC,2024-01-25,1
5487181666,USDC,2024-01-26,1
2863545371,USDC,2024-01-27,1
4447643739,USDC,2024-01-28,1
4920736968,USDC,2024-01-29,1
5630117915,USDC,2024-01-30,1
7284362922,USDC,2024-01-31,1
5394329612,USDC,2024-02-01,1
4598678104,USDC,2024-02-02,1
2502413315,USDC,2024-02-03,1
2734642073,USDC,2024-02-04,1
4507910878,USDC,2024-02-05,1
4415864090,USDC,2024-02-06,1
5719303290,USDC,2024-02-07,1
6233371927,USDC,2024-02-08,1
8069980546,USDC,2024-02-09,1
3745251311,USDC,2024-02-10,1
4073957830,USDC,2024-02-11,1
6739557067,USDC,2024-02-12,1
6825450889,USDC,2024-02-13,1
6680249701,USDC,2024-02-14,1
7527179544,USDC,2024-02-15,1
5614125794,USDC,2024-02-16,1
3780445355,USDC,2024-02-17,1
3863859252,USDC,2024-02-18,1
5396207837,USDC,2024-02-19,1
7544920935,USDC,2024-02-20,1
6349227247,USDC,2024-02-21,1
6826866133,USDC,2024-02-22,1
4974874020,USDC,2024-02-23,1
3060116653,USDC,2024-02-24,1
3463826952,USDC,2024-02-25,1
6783326949,USDC,2024-02-26,1
8273690025,USDC,2024-02-27,1
11959164677,USDC,2024-02-28,1
10631188477,USDC,2024-02-29,1
7468283734,USDC,2024-03-01,1
5668798810,USDC,2024-03-02,1
5663975274,USDC,2024-03-03,1
10518120570,USDC,2024-03-04,1
18001924574,USDC,2024-03-05,1
12709293551,USDC,2024-03-06,1
10388182989,USDC,2024-03-07,1
10713621716,USDC,2024-03-08,1
5513805821,USDC,2024-03-09,1
7240540541,USDC,2024-03-10,1
12100716195,USDC,2024-03-11,1
12511458622,USDC,2024-03-12,1
10114698359,USDC,2024-03-13,1
13013493200,USDC,2024-03-14,1
