country_iso3,year,rank,rank_note,adoption_percentile,overall_score,centralized_service_value_received_rank,defi_value_received_rank,institutional_centralized_service_value_received_rank,number_of_onchain_deposits_rank,onchain_retail_value_received_rank,onchain_value_received_rank,p2p_exchange_trade_volume_rank,retail_centralized_service_value_received_rank,retail_defi_value_received_rank
ETH,2021,112.0,,0.27922077922077926,0.02,,,,,104.0,115.0,84.0,,
ETH,2022,64.0,,0.5655172413793104,,62.0,66.0,,,,,67.0,62.0,46.0
ETH,2023,36.0,,0.7727272727272727,,39.0,71.0,,,,,8.0,38.0,71.0
ETH,2024,26.0,,0.8333333333333334,,30.0,26.0,,,,,,24.0,32.0
ETH,2025,12.0,,0.9147286821705426,,19.0,7.0,20.0,,,,,16.0,
FIN,2020,56.0,,0.6071428571428572,0.085,,,,26.0,88.0,78.0,57.0,,
FIN,2021,87.0,,0.4415584415584416,0.03,,,,,72.0,68.0,101.0,,
FIN,2022,88.0,,0.4,,78.0,65.0,,,,,97.0,78.0,79.0
FIN,2023,99.0,,0.36363636363636365,,97.0,80.0,,,,,123.0,97.0,80.0
FIN,2024,83.0,,0.45333333333333337,,91.0,59.0,,,,,,102.0,80.0
FIN,2025,65.0,,0.5038759689922481,,76.0,42.0,72.0,,,,,85.0,
FJI,2020,,Among lowest,0.0,0.0,,,,146.0,151.0,150.0,,,
FJI,2021,146.0,,0.058441558441558406,0.0,,,,,150.0,153.0,65.0,,
FJI,2022,140.0,,0.04137931034482756,,143.0,143.0,,,,,58.0,143.0,145.0
FJI,2023,152.0,,0.01948051948051943,,142.0,152.0,,,,,137.0,139.0,152.0
FJI,2024,143.0,,0.053333333333333344,,142.0,136.0,,,,,,151.0,137.0
FRA,2020,21.0,,0.8571428571428572,0.208,,,,49.0,25.0,18.0,55.0,,
FRA,2021,34.0,,0.7857142857142857,0.08,,,,,18.0,17.0,123.0,,
FRA,2022,32.0,,0.7862068965517242,,26.0,16.0,,,,,101.0,26.0,20.0
FRA,2023,23.0,,0.8571428571428572,,26.0,21.0,,,,,55.0,28.0,21.0
FRA,2024,22.0,,0.86,,26.0,21.0,,,,,,33.0,19.0
FRA,2025,22.0,,0.8372093023255813,,24.0,19.0,22.0,,,,,30.0,
GAB,2020,137.0,,0.02857142857142858,0.003,,,,138.0,144.0,144.0,119.0,,
GAB,2021,150.0,,0.03246753246753242,0.0,,,,,149.0,149.0,116.0,,
GAB,2022,138.0,,0.05517241379310345,,136.0,133.0,,,,,106.0,136.0,136.0
GAB,2023,150.0,,0.03246753246753242,,151.0,148.0,,,,,120.0,150.0,148.0
GBR,2020,14.0,,0.9071428571428571,0.333,,,,42.0,19.0,15.0,17.0,,
GBR,2021,21.0,,0.8701298701298701,0.13,,,,,15.0,12.0,94.0,,
GBR,2022,17.0,,0.8896551724137931,,14.0,12.0,,,,,71.0,14.0,11.0
GBR,2023,14.0,,0.9155844155844156,,15.0,8.0,,,,,38.0,20.0,8.0
GBR,2024,12.0,,0.9266666666666666,,12.0,9.0,,,,,,21.0,8.0
GBR,2025,11.0,,0.9224806201550387,,12.0,12.0,9.0,,,,,27.0,
GEO,2020,30.0,,0.7928571428571428,0.17,,,,18.0,58.0,50.0,21.0,,
GEO,2021,56.0,,0.6428571428571428,0.05,,,,,66.0,79.0,38.0,,
GEO,2022,37.0,,0.7517241379310344,,47.0,53.0,,,,,33.0,47.0,52.0
