asset,time,TxTfrCnt
usdc,2021-02-19T00:00:00.000000000Z,56144
usdc,2021-02-20T00:00:00.000000000Z,59493
usdc,2021-02-21T00:00:00.000000000Z,51502
usdc,2021-02-22T00:00:00.000000000Z,57807
usdc,2021-02-23T00:00:00.000000000Z,66369
usdc,2021-02-24T00:00:00.000000000Z,64595
usdc,2021-02-25T00:00:00.000000000Z,56277
usdc,2021-02-26T00:00:00.000000000Z,64602
usdc,2021-02-27T00:00:00.000000000Z,56084
usdc,2021-02-28T00:00:00.000000000Z,57255
usdc,2021-03-01T00:00:00.000000000Z,53530
usdc,2021-03-02T00:00:00.000000000Z,50692
usdc,2021-03-03T00:00:00.000000000Z,54962
usdc,2021-03-04T00:00:00.000000000Z,53405
usdc,2021-03-05T00:00:00.000000000Z,58019
usdc,2021-03-06T00:00:00.000000000Z,43923
usdc,2021-03-07T00:00:00.000000000Z,44009
usdc,2021-03-08T00:00:00.000000000Z,45955
usdc,2021-03-09T00:00:00.000000000Z,53473
usdc,2021-03-10T00:00:00.000000000Z,49709
usdc,2021-03-11T00:00:00.000000000Z,51083
usdc,2021-03-12T00:00:00.000000000Z,55186
usdc,2021-03-13T00:00:00.000000000Z,48137
usdc,2021-03-14T00:00:00.000000000Z,40595
usdc,2021-03-15T00:00:00.000000000Z,48503
usdc,2021-03-16T00:00:00.000000000Z,55102
usdc,2021-03-17T00:00:00.000000000Z,49891
usdc,2021-03-18T00:00:00.000000000Z,314364
usdc,2021-03-19T00:00:00.000000000Z,317028
usdc,2021-03-20T00:00:00.000000000Z,278804
usdc,2021-03-21T00:00:00.000000000Z,271565
usdc,2021-03-22T00:00:00.000000000Z,325208
usdc,2021-03-23T00:00:00.000000000Z,338128
usdc,2021-03-24T00:00:00.000000000Z,332430
usdc,2021-03-25T00:00:00.000000000Z,362423
usdc,2021-03-26T00:00:00.000000000Z,283789
usdc,2021-03-27T00:00:00.000000000Z,265548
usdc,2021-03-28T00:00:00.000000000Z,275329
usdc,2021-03-29T00:00:00.000000000Z,294454
usdc,2021-03-30T00:00:00.000000000Z,297322
usdc,2021-03-31T00:00:00.000000000Z,313202
usdc,2021-04-01T00:00:00.000000000Z,278134
usdc,2021-04-02T00:00:00.000000000Z,270227
usdc,2021-04-03T00:00:00.000000000Z,271543
usdc,2021-04-04T00:00:00.000000000Z,279371
usdc,2021-04-05T00:00:00.000000000Z,275411
usdc,2021-04-06T00:00:00.000000000Z,332270
usdc,2021-04-07T00:00:00.000000000Z,396690
usdc,2021-04-08T00:00:00.000000000Z,321770
usdc,2021-04-09T00:00:00.000000000Z,315258
